variant,planner,success,path_length,expansions_or_nodes,time,time_wall,failure_reason,remediations,plot_path
large_map_large_gap,APF,True,68.74367024171262,315,0.2739555835723877,0.2739555835723877,,,D:\BaiduSyncdisk\study\phdprojec\pathplan_1.8\examples\outputs\20260117_060001\dense_forest_large_map_large_gap.png
large_map_large_gap,Hybrid A*,True,83.916328662015,670,0.5449326038360596,0.5464799404144287,,,D:\BaiduSyncdisk\study\phdprojec\pathplan_1.8\examples\outputs\20260117_060001\dense_forest_large_map_large_gap.png
large_map_large_gap,Informed RRT*,True,76.67300509600314,910,6.816993713378906,6.816993713378906,,short_step_retry;explore_step,D:\BaiduSyncdisk\study\phdprojec\pathplan_1.8\examples\outputs\20260117_060001\dense_forest_large_map_large_gap.png
large_map_small_gap,APF,True,69.62511837674263,320,0.20235729217529297,0.20235729217529297,,escape_step;escape_step;escape_step;escape_step,D:\BaiduSyncdisk\study\phdprojec\pathplan_1.8\examples\outputs\20260117_060001\dense_forest_large_map_small_gap.png
large_map_small_gap,Hybrid A*,True,82.37089121000736,561,0.3578217029571533,0.35883259773254395,,,D:\BaiduSyncdisk\study\phdprojec\pathplan_1.8\examples\outputs\20260117_060001\dense_forest_large_map_small_gap.png
large_map_small_gap,Informed RRT*,True,69.0119919816512,2397,8.410279035568237,8.410279035568237,,short_step_retry;explore_step,D:\BaiduSyncdisk\study\phdprojec\pathplan_1.8\examples\outputs\20260117_060001\dense_forest_large_map_small_gap.png
small_map_large_gap,APF,True,22.168076536228398,100,0.03239107131958008,0.03239107131958008,,,D:\BaiduSyncdisk\study\phdprojec\pathplan_1.8\examples\outputs\20260117_060001\dense_forest_small_map_large_gap.png
small_map_large_gap,Hybrid A*,True,29.48725523839365,328,0.18100452423095703,0.18206357955932617,,,D:\BaiduSyncdisk\study\phdprojec\pathplan_1.8\examples\outputs\20260117_060001\dense_forest_small_map_large_gap.png
small_map_large_gap,Informed RRT*,True,33.70125254179258,303,0.25095200538635254,0.25095200538635254,,,D:\BaiduSyncdisk\study\phdprojec\pathplan_1.8\examples\outputs\20260117_060001\dense_forest_small_map_large_gap.png
small_map_small_gap,APF,True,25.585435882283846,116,0.0307004451751709,0.0307004451751709,,,D:\BaiduSyncdisk\study\phdprojec\pathplan_1.8\examples\outputs\20260117_060001\dense_forest_small_map_small_gap.png
small_map_small_gap,Hybrid A*,True,32.13985909878585,476,0.23655915260314941,0.23767709732055664,,,D:\BaiduSyncdisk\study\phdprojec\pathplan_1.8\examples\outputs\20260117_060001\dense_forest_small_map_small_gap.png
small_map_small_gap,Informed RRT*,True,32.87928687244777,2079,6.726153612136841,6.726153612136841,,short_step_retry;explore_step,D:\BaiduSyncdisk\study\phdprojec\pathplan_1.8\examples\outputs\20260117_060001\dense_forest_small_map_small_gap.png
real_env1,APF,True,37.56573072033913,166,0.032944679260253906,0.032944679260253906,,escape_step;escape_step;escape_step;escape_step;escape_step;escape_step;escape_step;escape_step;escape_step;escape_step;escape_step;escape_step;escape_step,D:\BaiduSyncdisk\study\phdprojec\pathplan_1.8\examples\outputs\20260117_060001\dense_forest_real_env1.png
real_env1,Hybrid A*,True,32.92665220828894,1159,0.6301295757293701,0.6321392059326172,,,D:\BaiduSyncdisk\study\phdprojec\pathplan_1.8\examples\outputs\20260117_060001\dense_forest_real_env1.png
real_env1,Informed RRT*,True,37.88003064275804,609,3.29459547996521,3.2956011295318604,,explore_step;short_step_retry,D:\BaiduSyncdisk\study\phdprojec\pathplan_1.8\examples\outputs\20260117_060001\dense_forest_real_env1.png
