variant,planner,success,path_length,expansions_or_nodes,time,time_wall,failure_reason,remediations,plot_path
large_map_large_gap,APF,True,67.31210360717226,312,0.21808266639709473,0.21813344955444336,,escape_step;escape_step;escape_step,D:\BaiduSyncdisk\study\phdprojec\pathplan_1.8\examples\outputs\20260117_194316\dense_forest_large_map_large_gap.png
large_map_large_gap,Hybrid A*,True,87.2395028289851,614,0.5024049282073975,0.5034365653991699,,,D:\BaiduSyncdisk\study\phdprojec\pathplan_1.8\examples\outputs\20260117_194316\dense_forest_large_map_large_gap.png
large_map_large_gap,Informed RRT*,True,78.96215972458941,2634,2.8897061347961426,2.889859914779663,,explore_step;short_step_retry,D:\BaiduSyncdisk\study\phdprojec\pathplan_1.8\examples\outputs\20260117_194316\dense_forest_large_map_large_gap.png
large_map_small_gap,APF,True,69.74776261194252,323,0.21415424346923828,0.2142331600189209,,escape_step;escape_step,D:\BaiduSyncdisk\study\phdprojec\pathplan_1.8\examples\outputs\20260117_194316\dense_forest_large_map_small_gap.png
large_map_small_gap,Hybrid A*,True,82.29982661377093,583,0.45552921295166016,0.456373929977417,,,D:\BaiduSyncdisk\study\phdprojec\pathplan_1.8\examples\outputs\20260117_194316\dense_forest_large_map_small_gap.png
large_map_small_gap,Informed RRT*,False,0.0,7356,18.011688709259033,18.012868881225586,timeout,explore_step;short_step_retry,D:\BaiduSyncdisk\study\phdprojec\pathplan_1.8\examples\outputs\20260117_194316\dense_forest_large_map_small_gap.png
small_map_large_gap,APF,True,22.05530140621846,100,0.03392457962036133,0.03394579887390137,,,D:\BaiduSyncdisk\study\phdprojec\pathplan_1.8\examples\outputs\20260117_194316\dense_forest_small_map_large_gap.png
small_map_large_gap,Hybrid A*,True,22.408341089203066,1465,1.1162056922912598,1.1186175346374512,,relax_heuristic_weight;add_fine_primitives:0.35,D:\BaiduSyncdisk\study\phdprojec\pathplan_1.8\examples\outputs\20260117_194316\dense_forest_small_map_large_gap.png
small_map_large_gap,Informed RRT*,False,0.0,5697,10.006516218185425,10.006895303726196,timeout,explore_step;short_step_retry,D:\BaiduSyncdisk\study\phdprojec\pathplan_1.8\examples\outputs\20260117_194316\dense_forest_small_map_large_gap.png
small_map_small_gap,APF,True,37.26697658960938,179,0.045326948165893555,0.04536938667297363,,escape_step;escape_step;escape_step;escape_step;escape_step;escape_step;escape_step;escape_step,D:\BaiduSyncdisk\study\phdprojec\pathplan_1.8\examples\outputs\20260117_194316\dense_forest_small_map_small_gap.png
small_map_small_gap,Hybrid A*,True,30.839587891386778,372,0.2694704532623291,0.2700624465942383,,,D:\BaiduSyncdisk\study\phdprojec\pathplan_1.8\examples\outputs\20260117_194316\dense_forest_small_map_small_gap.png
small_map_small_gap,Informed RRT*,True,31.01854078366809,3066,3.3187832832336426,3.318934202194214,,explore_step;short_step_retry,D:\BaiduSyncdisk\study\phdprojec\pathplan_1.8\examples\outputs\20260117_194316\dense_forest_small_map_small_gap.png
