variant,planner,success,path_length,expansions_or_nodes,time,time_wall,failure_reason,remediations,plot_path
large_map_large_gap,APF,True,69.79523684545504,318,0.20451903343200684,0.20451903343200684,,escape_step,D:\BaiduSyncdisk\study\phdprojec\pathplan_1.6\examples\outputs\20260108_173132\dense_forest_large_map_large_gap.png
large_map_large_gap,Hybrid A*,True,87.17864473769977,488,0.285808801651001,0.28699779510498047,,,D:\BaiduSyncdisk\study\phdprojec\pathplan_1.6\examples\outputs\20260108_173132\dense_forest_large_map_large_gap.png
large_map_large_gap,Informed RRT*,False,0.0,2557,10.106464624404907,10.107469320297241,timeout,explore_step;short_step_retry,D:\BaiduSyncdisk\study\phdprojec\pathplan_1.6\examples\outputs\20260108_173132\dense_forest_large_map_large_gap.png
large_map_small_gap,APF,True,71.19026030258777,327,0.2054462432861328,0.2054462432861328,,escape_step,D:\BaiduSyncdisk\study\phdprojec\pathplan_1.6\examples\outputs\20260108_173132\dense_forest_large_map_small_gap.png
large_map_small_gap,Hybrid A*,True,82.3163054806573,896,0.4855656623840332,0.4886791706085205,,,D:\BaiduSyncdisk\study\phdprojec\pathplan_1.6\examples\outputs\20260108_173132\dense_forest_large_map_small_gap.png
large_map_small_gap,Informed RRT*,True,70.38213172653268,4230,14.417685747146606,14.417685747146606,,explore_step;short_step_retry,D:\BaiduSyncdisk\study\phdprojec\pathplan_1.6\examples\outputs\20260108_173132\dense_forest_large_map_small_gap.png
small_map_large_gap,APF,True,22.168076536228398,100,0.031545400619506836,0.031545400619506836,,,D:\BaiduSyncdisk\study\phdprojec\pathplan_1.6\examples\outputs\20260108_173132\dense_forest_small_map_large_gap.png
small_map_large_gap,Hybrid A*,True,29.529440616239338,302,0.16149282455444336,0.16149282455444336,,,D:\BaiduSyncdisk\study\phdprojec\pathplan_1.6\examples\outputs\20260108_173132\dense_forest_small_map_large_gap.png
small_map_large_gap,Informed RRT*,True,33.70125254179258,301,0.19097352027893066,0.19097352027893066,,,D:\BaiduSyncdisk\study\phdprojec\pathplan_1.6\examples\outputs\20260108_173132\dense_forest_small_map_large_gap.png
small_map_small_gap,APF,True,25.585435882283846,116,0.029497385025024414,0.029497385025024414,,,D:\BaiduSyncdisk\study\phdprojec\pathplan_1.6\examples\outputs\20260108_173132\dense_forest_small_map_small_gap.png
small_map_small_gap,Hybrid A*,True,26.64375997608688,420,0.25968432426452637,0.25968432426452637,,,D:\BaiduSyncdisk\study\phdprojec\pathplan_1.6\examples\outputs\20260108_173132\dense_forest_small_map_small_gap.png
small_map_small_gap,Informed RRT*,False,0.0,3417,10.043726682662964,10.044731616973877,timeout,explore_step;short_step_retry,D:\BaiduSyncdisk\study\phdprojec\pathplan_1.6\examples\outputs\20260108_173132\dense_forest_small_map_small_gap.png
real_env1,APF,True,38.87452910031159,174,0.02944803237915039,0.02944803237915039,,escape_step;escape_step;escape_step;escape_step;escape_step;escape_step;escape_step;escape_step,D:\BaiduSyncdisk\study\phdprojec\pathplan_1.6\examples\outputs\20260108_173132\dense_forest_real_env1.png
real_env1,Hybrid A*,True,35.21573342389547,291,0.1551501750946045,0.15614628791809082,,,D:\BaiduSyncdisk\study\phdprojec\pathplan_1.6\examples\outputs\20260108_173132\dense_forest_real_env1.png
real_env1,Informed RRT*,False,0.0,2284,10.057112216949463,10.058114290237427,timeout,explore_step;short_step_retry,D:\BaiduSyncdisk\study\phdprojec\pathplan_1.6\examples\outputs\20260108_173132\dense_forest_real_env1.png
