variant,planner,success,path_length,expansions_or_nodes,time,time_wall,failure_reason,remediations,postprocess_mode,postprocess_reason,postprocess_improved,postprocess_selected_cost,postprocess_time,plot_path
large_map_small_gap,APF,True,71.19026030258777,327,0.2458045482635498,0.24585795402526855,,escape_step,none,,,,0.0,D:\BaiduSyncdisk\study\phdprojec\pathplan_1.6\examples\outputs\debug_check_lmsg2\20260107_060126\dense_forest_large_map_small_gap.png
large_map_small_gap,Hybrid A*,True,87.81369492314458,393,0.1793506145477295,0.18014097213745117,,,none,,,,0.0,D:\BaiduSyncdisk\study\phdprojec\pathplan_1.6\examples\outputs\debug_check_lmsg2\20260107_060126\dense_forest_large_map_small_gap.png
large_map_small_gap,D-Hybrid A*,True,63.272736916990205,594,0.20334458351135254,0.20412373542785645,,,none,,,,0.0,D:\BaiduSyncdisk\study\phdprojec\pathplan_1.6\examples\outputs\debug_check_lmsg2\20260107_060126\dense_forest_large_map_small_gap.png
large_map_small_gap,Informed RRT*,False,0.0,537,10.007957458496094,10.008018970489502,timeout,shrink_step_time;reduce_goal_bias,none,,,,0.0,D:\BaiduSyncdisk\study\phdprojec\pathplan_1.6\examples\outputs\debug_check_lmsg2\20260107_060126\dense_forest_large_map_small_gap.png
