variant,planner,success,path_length,expansions_or_nodes,time,time_wall,failure_reason,remediations,postprocess_mode,postprocess_reason,postprocess_improved,postprocess_selected_cost,postprocess_time,plot_path
large_map_large_gap,APF,True,64.44708708864736,309,0.20267415046691895,0.20271778106689453,,,feng,,True,,0.34044313430786133,D:\BaiduSyncdisk\study\phdprojec\pathplan_1.4\examples\outputs\20260105_153954\dense_forest_large_map_large_gap.png
large_map_large_gap,Hybrid A*,True,76.90665237480901,1148,0.40019702911376953,0.40169572830200195,,,feng,feng_fallback_to_stomp,False,,1.2576079368591309,D:\BaiduSyncdisk\study\phdprojec\pathplan_1.4\examples\outputs\20260105_153954\dense_forest_large_map_large_gap.png
large_map_large_gap,D-Hybrid A*,True,60.75498998650116,248,0.06601333618164062,0.06623578071594238,,,feng,,True,,0.321549654006958,D:\BaiduSyncdisk\study\phdprojec\pathplan_1.4\examples\outputs\20260105_153954\dense_forest_large_map_large_gap.png
large_map_large_gap,Informed RRT*,True,62.475632710193125,166,0.04089617729187012,0.0409085750579834,,shrink_step_time;reduce_goal_bias,feng,,True,,0.32260584831237793,D:\BaiduSyncdisk\study\phdprojec\pathplan_1.4\examples\outputs\20260105_153954\dense_forest_large_map_large_gap.png
large_map_small_gap,APF,True,65.89072124277052,310,0.20681405067443848,0.2068643569946289,,,feng,feng_fallback_to_stomp,False,,0.9456450939178467,D:\BaiduSyncdisk\study\phdprojec\pathplan_1.4\examples\outputs\20260105_153954\dense_forest_large_map_small_gap.png
large_map_small_gap,Hybrid A*,True,73.00376006185101,888,0.3108401298522949,0.3119373321533203,,,feng,,True,,0.32307910919189453,D:\BaiduSyncdisk\study\phdprojec\pathplan_1.4\examples\outputs\20260105_153954\dense_forest_large_map_small_gap.png
large_map_small_gap,D-Hybrid A*,True,64.97027922726814,331,0.08443570137023926,0.08470439910888672,,,feng,feng_fallback_to_stomp,False,,1.4347574710845947,D:\BaiduSyncdisk\study\phdprojec\pathplan_1.4\examples\outputs\20260105_153954\dense_forest_large_map_small_gap.png
large_map_small_gap,Informed RRT*,True,76.15897848085227,743,0.3995833396911621,0.39962124824523926,,shrink_step_time;reduce_goal_bias,feng,feng_fallback_to_stomp,False,,1.0231447219848633,D:\BaiduSyncdisk\study\phdprojec\pathplan_1.4\examples\outputs\20260105_153954\dense_forest_large_map_small_gap.png
small_map_large_gap,APF,True,21.346029646506704,99,0.02997612953186035,0.029992341995239258,,,feng,,False,,0.29683971405029297,D:\BaiduSyncdisk\study\phdprojec\pathplan_1.4\examples\outputs\20260105_153954\dense_forest_small_map_large_gap.png
small_map_large_gap,Hybrid A*,True,25.057931392035513,534,0.1622331142425537,0.1629352569580078,,,feng,,True,,0.3113718032836914,D:\BaiduSyncdisk\study\phdprojec\pathplan_1.4\examples\outputs\20260105_153954\dense_forest_small_map_large_gap.png
small_map_large_gap,D-Hybrid A*,True,21.9212034614448,159,0.039995431900024414,0.04017925262451172,,,feng,,True,,0.3619823455810547,D:\BaiduSyncdisk\study\phdprojec\pathplan_1.4\examples\outputs\20260105_153954\dense_forest_small_map_large_gap.png
small_map_large_gap,Informed RRT*,True,23.293595509554034,84,0.020314455032348633,0.020322084426879883,,shrink_step_time;reduce_goal_bias,feng,,False,,0.2576568126678467,D:\BaiduSyncdisk\study\phdprojec\pathplan_1.4\examples\outputs\20260105_153954\dense_forest_small_map_large_gap.png
small_map_small_gap,APF,True,24.14019515690379,117,0.032393693923950195,0.03241157531738281,,,feng,feng_fallback_to_stomp,False,,0.46200132369995117,D:\BaiduSyncdisk\study\phdprojec\pathplan_1.4\examples\outputs\20260105_153954\dense_forest_small_map_small_gap.png
small_map_small_gap,Hybrid A*,True,27.373606890116097,408,0.1213221549987793,0.12183666229248047,,,feng,feng_fallback_to_stomp,False,,0.5753629207611084,D:\BaiduSyncdisk\study\phdprojec\pathplan_1.4\examples\outputs\20260105_153954\dense_forest_small_map_small_gap.png
small_map_small_gap,D-Hybrid A*,True,24.102821510472246,1605,0.5231812000274658,0.5253915786743164,,downweight_dqn;expand_dqn_top_k;force_anchor_cooldown;force_anchor_cooldown;force_anchor_cooldown,feng,,False,,0.26041269302368164,D:\BaiduSyncdisk\study\phdprojec\pathplan_1.4\examples\outputs\20260105_153954\dense_forest_small_map_small_gap.png
small_map_small_gap,Informed RRT*,True,22.449442389100117,517,0.2527337074279785,0.2527601718902588,,shrink_step_time;reduce_goal_bias,feng,,False,,0.26270294189453125,D:\BaiduSyncdisk\study\phdprojec\pathplan_1.4\examples\outputs\20260105_153954\dense_forest_small_map_small_gap.png
