variant,planner,success,path_length,expansions_or_nodes,time,time_wall,failure_reason,remediations,plot_path
large_map_large_gap,APF,True,74.06075599088629,352,0.3639397621154785,0.36399388313293457,,escape_step;escape_step;escape_step;escape_step;escape_step;escape_step;escape_step;escape_step;escape_step;escape_step;escape_step;escape_step,D:\BaiduSyncdisk\study\phdprojec\pathplan_1.8\examples\outputs\20260117_202443\dense_forest_large_map_large_gap.png
large_map_large_gap,Hybrid A*,True,83.25207507072732,614,0.7563016414642334,0.7574784755706787,,,D:\BaiduSyncdisk\study\phdprojec\pathplan_1.8\examples\outputs\20260117_202443\dense_forest_large_map_large_gap.png
large_map_large_gap,Informed RRT*,True,80.88249919800873,1677,2.296840190887451,2.296945810317993,,explore_step;short_step_retry,D:\BaiduSyncdisk\study\phdprojec\pathplan_1.8\examples\outputs\20260117_202443\dense_forest_large_map_large_gap.png
large_map_small_gap,APF,True,74.92674669603426,359,0.33031678199768066,0.3303987979888916,,escape_step;escape_step;escape_step;escape_step;escape_step;escape_step;escape_step;escape_step;escape_step;escape_step;escape_step;escape_step;escape_step;escape_step;escape_step;escape_step;escape_step;escape_step,D:\BaiduSyncdisk\study\phdprojec\pathplan_1.8\examples\outputs\20260117_202443\dense_forest_large_map_small_gap.png
large_map_small_gap,Hybrid A*,True,81.43014804940533,565,0.6118385791778564,0.6128778457641602,,,D:\BaiduSyncdisk\study\phdprojec\pathplan_1.8\examples\outputs\20260117_202443\dense_forest_large_map_small_gap.png
large_map_small_gap,Informed RRT*,True,81.3764839427715,5307,13.501294374465942,13.501840353012085,,short_step_retry;explore_step,D:\BaiduSyncdisk\study\phdprojec\pathplan_1.8\examples\outputs\20260117_202443\dense_forest_large_map_small_gap.png
small_map_large_gap,APF,True,22.05530140621846,100,0.041701555252075195,0.04174947738647461,,,D:\BaiduSyncdisk\study\phdprojec\pathplan_1.8\examples\outputs\20260117_202443\dense_forest_small_map_large_gap.png
small_map_large_gap,Hybrid A*,True,29.328427570011588,327,0.3264181613922119,0.3271148204803467,,,D:\BaiduSyncdisk\study\phdprojec\pathplan_1.8\examples\outputs\20260117_202443\dense_forest_small_map_large_gap.png
small_map_large_gap,Informed RRT*,False,0.0,4833,10.006869316101074,10.00757884979248,timeout,explore_step;short_step_retry,D:\BaiduSyncdisk\study\phdprojec\pathplan_1.8\examples\outputs\20260117_202443\dense_forest_small_map_large_gap.png
small_map_small_gap,APF,True,32.28562311302539,156,0.07375168800354004,0.07380080223083496,,escape_step;escape_step;escape_step;escape_step;escape_step;escape_step;escape_step;escape_step;escape_step;escape_step;escape_step;escape_step,D:\BaiduSyncdisk\study\phdprojec\pathplan_1.8\examples\outputs\20260117_202443\dense_forest_small_map_small_gap.png
