variant,planner,success,path_length,expansions_or_nodes,time,time_wall,failure_reason,remediations,postprocess_mode,postprocess_reason,postprocess_improved,postprocess_selected_cost,postprocess_time,plot_path
large_map_small_gap,APF,True,71.19026030258777,327,0.2537245750427246,0.2538020610809326,,escape_step,none,,,,0.0,D:\BaiduSyncdisk\study\phdprojec\pathplan_1.6\examples\outputs\debug_check_lmsg5\20260107_064149\dense_forest_large_map_small_gap.png
large_map_small_gap,Hybrid A*,True,87.81369492314458,393,0.17233657836914062,0.17282414436340332,,,none,,,,0.0,D:\BaiduSyncdisk\study\phdprojec\pathplan_1.6\examples\outputs\debug_check_lmsg5\20260107_064149\dense_forest_large_map_small_gap.png
large_map_small_gap,D-Hybrid A*,True,63.272736916990205,594,0.19884252548217773,0.19967937469482422,,,none,,,,0.0,D:\BaiduSyncdisk\study\phdprojec\pathplan_1.6\examples\outputs\debug_check_lmsg5\20260107_064149\dense_forest_large_map_small_gap.png
large_map_small_gap,Informed RRT*,False,0.0,5482,18.094635009765625,18.09558892250061,timeout,explore_step;short_step_retry,none,,,,0.0,D:\BaiduSyncdisk\study\phdprojec\pathplan_1.6\examples\outputs\debug_check_lmsg5\20260107_064149\dense_forest_large_map_small_gap.png
