variant,planner,success,path_length,expansions_or_nodes,time,time_wall,plot_path
large_map,Hybrid A*,True,81.24101535936565,444,0.17477178573608398,0.17506766319274902,E:\tongbu\BaiduSyncdisk\study\phdprojec\pathplan_1.3\examples\outputs\20251229_170302\dense_forest_large_map.png
large_map,DQN Hybrid A*,True,65.13916656469442,157,0.07672500610351562,0.07687711715698242,E:\tongbu\BaiduSyncdisk\study\phdprojec\pathplan_1.3\examples\outputs\20251229_170302\dense_forest_large_map.png
large_map,RRT*,True,76.32699713409748,627,0.5247600078582764,0.5247957706451416,E:\tongbu\BaiduSyncdisk\study\phdprojec\pathplan_1.3\examples\outputs\20251229_170302\dense_forest_large_map.png
small_map,Hybrid A*,True,30.080545010735204,117,0.045613765716552734,0.04570722579956055,E:\tongbu\BaiduSyncdisk\study\phdprojec\pathplan_1.3\examples\outputs\20251229_170302\dense_forest_small_map.png
small_map,DQN Hybrid A*,True,22.771253306524567,58,0.028012752532958984,0.028074026107788086,E:\tongbu\BaiduSyncdisk\study\phdprojec\pathplan_1.3\examples\outputs\20251229_170302\dense_forest_small_map.png
small_map,RRT*,True,26.73365162792638,29,0.008572101593017578,0.00857686996459961,E:\tongbu\BaiduSyncdisk\study\phdprojec\pathplan_1.3\examples\outputs\20251229_170302\dense_forest_small_map.png
large_gap,Hybrid A*,True,51.21715130467546,385,0.14721131324768066,0.14746665954589844,E:\tongbu\BaiduSyncdisk\study\phdprojec\pathplan_1.3\examples\outputs\20251229_170302\dense_forest_large_gap.png
large_gap,DQN Hybrid A*,True,41.78820787601315,1246,0.4381558895111084,0.43910717964172363,E:\tongbu\BaiduSyncdisk\study\phdprojec\pathplan_1.3\examples\outputs\20251229_170302\dense_forest_large_gap.png
large_gap,RRT*,False,0.0,777,1.0005404949188232,1.0005879402160645,E:\tongbu\BaiduSyncdisk\study\phdprojec\pathplan_1.3\examples\outputs\20251229_170302\dense_forest_large_gap.png
small_gap,Hybrid A*,True,51.21715130467546,385,0.14634370803833008,0.14662599563598633,E:\tongbu\BaiduSyncdisk\study\phdprojec\pathplan_1.3\examples\outputs\20251229_170302\dense_forest_small_gap.png
small_gap,DQN Hybrid A*,True,50.90302006725994,1825,0.638192892074585,0.6393485069274902,E:\tongbu\BaiduSyncdisk\study\phdprojec\pathplan_1.3\examples\outputs\20251229_170302\dense_forest_small_gap.png
small_gap,RRT*,False,0.0,749,1.0004825592041016,1.0005271434783936,E:\tongbu\BaiduSyncdisk\study\phdprojec\pathplan_1.3\examples\outputs\20251229_170302\dense_forest_small_gap.png
