variant,planner,success,path_length,expansions_or_nodes,time,time_wall,failure_reason,remediations,plot_path
large_map_large_gap,APF,True,67.25500758225147,314,0.3302299976348877,0.3303079605102539,,escape_step;escape_step;escape_step;escape_step;escape_step;escape_step;escape_step,D:\BaiduSyncdisk\study\phdprojec\pathplan_1.8\examples\outputs\20260117_203412\dense_forest_large_map_large_gap.png
large_map_large_gap,Hybrid A*,True,83.92446383073388,561,0.4056363105773926,0.4070460796356201,,,D:\BaiduSyncdisk\study\phdprojec\pathplan_1.8\examples\outputs\20260117_203412\dense_forest_large_map_large_gap.png
large_map_large_gap,Informed RRT*,False,0.0,4585,10.020151376724243,10.021215915679932,timeout,explore_step;short_step_retry,D:\BaiduSyncdisk\study\phdprojec\pathplan_1.8\examples\outputs\20260117_203412\dense_forest_large_map_large_gap.png
large_map_small_gap,APF,True,79.84900733496785,379,0.3428194522857666,0.34293127059936523,,escape_step;escape_step;escape_step;escape_step;escape_step;escape_step;escape_step;escape_step;escape_step;escape_step;escape_step;escape_step;escape_step;escape_step;escape_step;escape_step;escape_step;escape_step,D:\BaiduSyncdisk\study\phdprojec\pathplan_1.8\examples\outputs\20260117_203412\dense_forest_large_map_small_gap.png
large_map_small_gap,Hybrid A*,True,82.99007692124556,535,0.3807086944580078,0.38193607330322266,,,D:\BaiduSyncdisk\study\phdprojec\pathplan_1.8\examples\outputs\20260117_203412\dense_forest_large_map_small_gap.png
large_map_small_gap,Informed RRT*,True,74.34816467698664,2284,3.353412628173828,3.353647470474243,,short_step_retry;explore_step,D:\BaiduSyncdisk\study\phdprojec\pathplan_1.8\examples\outputs\20260117_203412\dense_forest_large_map_small_gap.png
small_map_large_gap,APF,True,22.05530140621846,100,0.04523921012878418,0.04526495933532715,,,D:\BaiduSyncdisk\study\phdprojec\pathplan_1.8\examples\outputs\20260117_203412\dense_forest_small_map_large_gap.png
small_map_large_gap,Hybrid A*,True,29.328427570011588,292,0.18553972244262695,0.1861572265625,,,D:\BaiduSyncdisk\study\phdprojec\pathplan_1.8\examples\outputs\20260117_203412\dense_forest_small_map_large_gap.png
small_map_large_gap,Informed RRT*,False,0.0,4737,10.008508443832397,10.009026288986206,timeout,explore_step;short_step_retry,D:\BaiduSyncdisk\study\phdprojec\pathplan_1.8\examples\outputs\20260117_203412\dense_forest_small_map_large_gap.png
small_map_small_gap,APF,True,33.932345715857416,166,0.06621241569519043,0.06626725196838379,,escape_step;escape_step;escape_step;escape_step;escape_step;escape_step;escape_step;escape_step;escape_step;escape_step;escape_step,D:\BaiduSyncdisk\study\phdprojec\pathplan_1.8\examples\outputs\20260117_203412\dense_forest_small_map_small_gap.png
small_map_small_gap,Hybrid A*,True,30.872614992002482,301,0.18767476081848145,0.1882035732269287,,,D:\BaiduSyncdisk\study\phdprojec\pathplan_1.8\examples\outputs\20260117_203412\dense_forest_small_map_small_gap.png
small_map_small_gap,Informed RRT*,True,29.722425432664178,2383,2.8432090282440186,2.8434038162231445,,explore_step;short_step_retry,D:\BaiduSyncdisk\study\phdprojec\pathplan_1.8\examples\outputs\20260117_203412\dense_forest_small_map_small_gap.png
real_env1,APF,False,0.0,32,0.049902915954589844,0.04991030693054199,collision_blocked,escape_step;escape_step;escape_step;escape_step;escape_step;escape_step;escape_step;escape_step;escape_step;escape_step,D:\BaiduSyncdisk\study\phdprojec\pathplan_1.8\examples\outputs\20260117_203412\dense_forest_real_env1.png
real_env1,Hybrid A*,True,32.88118411367663,211,0.13846826553344727,0.13872337341308594,,,D:\BaiduSyncdisk\study\phdprojec\pathplan_1.8\examples\outputs\20260117_203412\dense_forest_real_env1.png
real_env1,Informed RRT*,True,42.02785002012909,3216,6.765066385269165,6.765233993530273,,explore_step;short_step_retry,D:\BaiduSyncdisk\study\phdprojec\pathplan_1.8\examples\outputs\20260117_203412\dense_forest_real_env1.png
