variant,planner,success,path_length,expansions_or_nodes,time,time_wall,failure_reason,remediations,postprocess_mode,postprocess_reason,postprocess_improved,postprocess_selected_cost,postprocess_time,plot_path
large_map_large_gap,APF,True,64.38937846288812,312,0.22806310653686523,0.22806310653686523,,,feng,,True,,0.44603753089904785,D:\BaiduSyncdisk\study\phdprojec\pathplan_1.4\examples\outputs\20260105_144029\dense_forest_large_map_large_gap.png
large_map_large_gap,Hybrid A*,True,77.004620706677,1148,0.4034614562988281,0.40646982192993164,,,feng,feng_fallback_to_stomp,False,,2.074392318725586,D:\BaiduSyncdisk\study\phdprojec\pathplan_1.4\examples\outputs\20260105_144029\dense_forest_large_map_large_gap.png
large_map_large_gap,D-Hybrid A*,True,60.70335899565141,248,0.0787968635559082,0.0787968635559082,,,feng,,True,,0.42676544189453125,D:\BaiduSyncdisk\study\phdprojec\pathplan_1.4\examples\outputs\20260105_144029\dense_forest_large_map_large_gap.png
large_map_large_gap,Informed RRT*,True,62.600169665150545,166,0.053562164306640625,0.053562164306640625,,shrink_step_time;reduce_goal_bias,feng,,True,,0.42097926139831543,D:\BaiduSyncdisk\study\phdprojec\pathplan_1.4\examples\outputs\20260105_144029\dense_forest_large_map_large_gap.png
large_map_small_gap,APF,True,70.60399462155235,323,0.20772409439086914,0.20772409439086914,,escape_step,feng,feng_fallback_to_stomp,False,,1.2049508094787598,D:\BaiduSyncdisk\study\phdprojec\pathplan_1.4\examples\outputs\20260105_144029\dense_forest_large_map_small_gap.png
large_map_small_gap,Hybrid A*,True,73.0145582898693,888,0.312542200088501,0.31464147567749023,,,feng,,True,,0.42020630836486816,D:\BaiduSyncdisk\study\phdprojec\pathplan_1.4\examples\outputs\20260105_144029\dense_forest_large_map_small_gap.png
large_map_small_gap,D-Hybrid A*,True,62.531249030559486,331,0.09649467468261719,0.09649467468261719,,,feng,feng_fallback_to_stomp,False,,1.4220049381256104,D:\BaiduSyncdisk\study\phdprojec\pathplan_1.4\examples\outputs\20260105_144029\dense_forest_large_map_small_gap.png
large_map_small_gap,Informed RRT*,True,76.64837589945533,743,0.499727725982666,0.499727725982666,,shrink_step_time;reduce_goal_bias,feng,feng_fallback_to_stomp,False,,2.5015857219696045,D:\BaiduSyncdisk\study\phdprojec\pathplan_1.4\examples\outputs\20260105_144029\dense_forest_large_map_small_gap.png
small_map_large_gap,APF,True,21.475515483978278,100,0.03370928764343262,0.03370928764343262,,,feng,,False,,0.3718397617340088,D:\BaiduSyncdisk\study\phdprojec\pathplan_1.4\examples\outputs\20260105_144029\dense_forest_small_map_large_gap.png
small_map_large_gap,Hybrid A*,True,25.10798835666126,534,0.17063260078430176,0.17113780975341797,,,feng,,True,,0.38835954666137695,D:\BaiduSyncdisk\study\phdprojec\pathplan_1.4\examples\outputs\20260105_144029\dense_forest_small_map_large_gap.png
small_map_large_gap,D-Hybrid A*,True,20.969492637098853,159,0.04448366165161133,0.04549431800842285,,,feng,,False,,0.4027249813079834,D:\BaiduSyncdisk\study\phdprojec\pathplan_1.4\examples\outputs\20260105_144029\dense_forest_small_map_large_gap.png
small_map_large_gap,Informed RRT*,True,23.125860383215503,84,0.023709774017333984,0.023709774017333984,,shrink_step_time;reduce_goal_bias,feng,,False,,0.3295595645904541,D:\BaiduSyncdisk\study\phdprojec\pathplan_1.4\examples\outputs\20260105_144029\dense_forest_small_map_large_gap.png
small_map_small_gap,APF,True,25.473591750478544,116,0.034404754638671875,0.034404754638671875,,,feng,feng_fallback_to_stomp,False,,0.5528898239135742,D:\BaiduSyncdisk\study\phdprojec\pathplan_1.4\examples\outputs\20260105_144029\dense_forest_small_map_small_gap.png
small_map_small_gap,Hybrid A*,True,27.41306631331695,408,0.12113308906555176,0.12214231491088867,,,feng,feng_fallback_to_stomp,False,,0.6029319763183594,D:\BaiduSyncdisk\study\phdprojec\pathplan_1.4\examples\outputs\20260105_144029\dense_forest_small_map_small_gap.png
small_map_small_gap,D-Hybrid A*,True,29.623368375747972,1605,0.5723676681518555,0.5750772953033447,,downweight_dqn;expand_dqn_top_k;force_anchor_cooldown;force_anchor_cooldown;force_anchor_cooldown,feng,feng_fallback_to_stomp,False,,0.7646005153656006,D:\BaiduSyncdisk\study\phdprojec\pathplan_1.4\examples\outputs\20260105_144029\dense_forest_small_map_small_gap.png
small_map_small_gap,Informed RRT*,True,22.44485663580857,517,0.33761167526245117,0.33761167526245117,,shrink_step_time;reduce_goal_bias,feng,,False,,0.3324456214904785,D:\BaiduSyncdisk\study\phdprojec\pathplan_1.4\examples\outputs\20260105_144029\dense_forest_small_map_small_gap.png
