variant,planner,success,path_length,expansions_or_nodes,time,time_wall,failure_reason,remediations,postprocess_mode,postprocess_reason,postprocess_improved,postprocess_selected_cost,postprocess_time,plot_path
large_map_small_gap,APF,True,71.19026030258777,327,0.25889086723327637,0.2589423656463623,,escape_step,none,,,,0.0,D:\BaiduSyncdisk\study\phdprojec\pathplan_1.6\examples\outputs\debug_check_lmsg6\20260107_064321\dense_forest_large_map_small_gap.png
large_map_small_gap,Hybrid A*,True,87.81369492314458,393,0.1844315528869629,0.18476533889770508,,,none,,,,0.0,D:\BaiduSyncdisk\study\phdprojec\pathplan_1.6\examples\outputs\debug_check_lmsg6\20260107_064321\dense_forest_large_map_small_gap.png
large_map_small_gap,D-Hybrid A*,True,63.272736916990205,594,0.2068314552307129,0.20773887634277344,,,none,,,,0.0,D:\BaiduSyncdisk\study\phdprojec\pathplan_1.6\examples\outputs\debug_check_lmsg6\20260107_064321\dense_forest_large_map_small_gap.png
large_map_small_gap,Informed RRT*,True,72.8705719497546,1891,4.542906999588013,4.543053150177002,,explore_step;short_step_retry,none,,,,0.0,D:\BaiduSyncdisk\study\phdprojec\pathplan_1.6\examples\outputs\debug_check_lmsg6\20260107_064321\dense_forest_large_map_small_gap.png
