variant,planner,success,path_length,expansions_or_nodes,time,time_wall,failure_reason,remediations,postprocess_mode,postprocess_reason,postprocess_improved,postprocess_selected_cost,postprocess_time,plot_path
large_map_large_gap,APF,True,64.38937846288809,312,0.3310368061065674,0.33205342292785645,,,feng,,True,,0.6539263725280762,E:\tongbu\BaiduSyncdisk\study\phdprojec\pathplan_1.4\examples\outputs\20260105_092531\dense_forest_large_map_large_gap.png
large_map_large_gap,Hybrid A*,True,76.96565491213735,1148,0.583977460861206,0.5865049362182617,,,feng,feng_fallback_to_stomp,False,,2.1754345893859863,E:\tongbu\BaiduSyncdisk\study\phdprojec\pathplan_1.4\examples\outputs\20260105_092531\dense_forest_large_map_large_gap.png
large_map_large_gap,D-Hybrid A*,True,60.703358995651406,248,0.11449956893920898,0.11449956893920898,,,feng,,True,,0.6549060344696045,E:\tongbu\BaiduSyncdisk\study\phdprojec\pathplan_1.4\examples\outputs\20260105_092531\dense_forest_large_map_large_gap.png
large_map_large_gap,Informed RRT*,True,62.600169665150595,166,0.08470678329467773,0.08470678329467773,,shrink_step_time;reduce_goal_bias,feng,,True,,0.6612668037414551,E:\tongbu\BaiduSyncdisk\study\phdprojec\pathplan_1.4\examples\outputs\20260105_092531\dense_forest_large_map_large_gap.png
large_map_small_gap,APF,True,70.60399462155235,323,0.32550692558288574,0.32550692558288574,,escape_step,feng,feng_fallback_to_stomp,False,,1.8533835411071777,E:\tongbu\BaiduSyncdisk\study\phdprojec\pathplan_1.4\examples\outputs\20260105_092531\dense_forest_large_map_small_gap.png
large_map_small_gap,Hybrid A*,True,73.01523671789629,888,0.4426901340484619,0.44373059272766113,,,feng,,True,,0.6529574394226074,E:\tongbu\BaiduSyncdisk\study\phdprojec\pathplan_1.4\examples\outputs\20260105_092531\dense_forest_large_map_small_gap.png
large_map_small_gap,D-Hybrid A*,True,62.531249030559486,331,0.14093279838562012,0.14193272590637207,,,feng,feng_fallback_to_stomp,False,,2.111264705657959,E:\tongbu\BaiduSyncdisk\study\phdprojec\pathplan_1.4\examples\outputs\20260105_092531\dense_forest_large_map_small_gap.png
large_map_small_gap,Informed RRT*,True,76.65521744197157,743,0.8181228637695312,0.8181228637695312,,shrink_step_time;reduce_goal_bias,feng,feng_fallback_to_stomp,False,,2.9063773155212402,E:\tongbu\BaiduSyncdisk\study\phdprojec\pathplan_1.4\examples\outputs\20260105_092531\dense_forest_large_map_small_gap.png
small_map_large_gap,APF,True,21.475515483978274,100,0.05037498474121094,0.05037498474121094,,,feng,,False,,0.5299315452575684,E:\tongbu\BaiduSyncdisk\study\phdprojec\pathplan_1.4\examples\outputs\20260105_092531\dense_forest_small_map_large_gap.png
small_map_large_gap,Hybrid A*,True,25.10979559424091,534,0.2370622158050537,0.23806238174438477,,,feng,,True,,0.5365447998046875,E:\tongbu\BaiduSyncdisk\study\phdprojec\pathplan_1.4\examples\outputs\20260105_092531\dense_forest_small_map_large_gap.png
small_map_large_gap,D-Hybrid A*,True,20.96949263709885,159,0.06893658638000488,0.06893658638000488,,,feng,,False,,0.5554218292236328,E:\tongbu\BaiduSyncdisk\study\phdprojec\pathplan_1.4\examples\outputs\20260105_092531\dense_forest_small_map_large_gap.png
small_map_large_gap,Informed RRT*,True,23.12586038321551,84,0.03755831718444824,0.03755831718444824,,shrink_step_time;reduce_goal_bias,feng,,False,,0.453967809677124,E:\tongbu\BaiduSyncdisk\study\phdprojec\pathplan_1.4\examples\outputs\20260105_092531\dense_forest_small_map_large_gap.png
small_map_small_gap,APF,True,25.473591750478544,116,0.05026745796203613,0.05026745796203613,,,feng,feng_fallback_to_stomp,False,,0.7920238971710205,E:\tongbu\BaiduSyncdisk\study\phdprojec\pathplan_1.4\examples\outputs\20260105_092531\dense_forest_small_map_small_gap.png
small_map_small_gap,Hybrid A*,True,27.41306631331695,408,0.219221830368042,0.22022128105163574,,,feng,feng_fallback_to_stomp,False,,0.8366773128509521,E:\tongbu\BaiduSyncdisk\study\phdprojec\pathplan_1.4\examples\outputs\20260105_092531\dense_forest_small_map_small_gap.png
small_map_small_gap,D-Hybrid A*,True,29.623368375747972,1605,0.8244585990905762,0.8265604972839355,,downweight_dqn;expand_dqn_top_k;force_anchor_cooldown;force_anchor_cooldown;force_anchor_cooldown,feng,feng_fallback_to_stomp,False,,1.0545408725738525,E:\tongbu\BaiduSyncdisk\study\phdprojec\pathplan_1.4\examples\outputs\20260105_092531\dense_forest_small_map_small_gap.png
small_map_small_gap,Informed RRT*,True,22.44485663580858,517,0.534956693649292,0.534956693649292,,shrink_step_time;reduce_goal_bias,feng,,False,,0.45296216011047363,E:\tongbu\BaiduSyncdisk\study\phdprojec\pathplan_1.4\examples\outputs\20260105_092531\dense_forest_small_map_small_gap.png
