variant,planner,success,path_length,expansions_or_nodes,time,time_wall,failure_reason,remediations,postprocess_mode,postprocess_reason,postprocess_improved,postprocess_selected_cost,postprocess_time,plot_path
large_map_large_gap,APF,True,64.44708708864735,309,0.21271371841430664,0.21271371841430664,,,feng,,True,,0.4423370361328125,D:\BaiduSyncdisk\study\phdprojec\pathplan_1.5\examples\outputs\20260105_162306\dense_forest_large_map_large_gap.png
large_map_large_gap,Hybrid A*,True,76.90665237480901,1148,0.4111618995666504,0.41417884826660156,,,feng,feng_fallback_to_stomp,False,,1.566174030303955,D:\BaiduSyncdisk\study\phdprojec\pathplan_1.5\examples\outputs\20260105_162306\dense_forest_large_map_large_gap.png
large_map_large_gap,D-Hybrid A*,True,60.75498998650116,248,0.07613873481750488,0.07613873481750488,,,feng,,True,,0.42529845237731934,D:\BaiduSyncdisk\study\phdprojec\pathplan_1.5\examples\outputs\20260105_162306\dense_forest_large_map_large_gap.png
large_map_large_gap,Informed RRT*,True,62.475632710193125,166,0.052625417709350586,0.052625417709350586,,shrink_step_time;reduce_goal_bias,feng,,True,,0.42317938804626465,D:\BaiduSyncdisk\study\phdprojec\pathplan_1.5\examples\outputs\20260105_162306\dense_forest_large_map_large_gap.png
large_map_small_gap,APF,True,65.89072124277052,310,0.2128307819366455,0.2128307819366455,,,feng,feng_fallback_to_stomp,False,,1.266252040863037,D:\BaiduSyncdisk\study\phdprojec\pathplan_1.5\examples\outputs\20260105_162306\dense_forest_large_map_small_gap.png
large_map_small_gap,Hybrid A*,True,73.00376006185101,888,0.31664276123046875,0.31865763664245605,,,feng,,True,,0.44516587257385254,D:\BaiduSyncdisk\study\phdprojec\pathplan_1.5\examples\outputs\20260105_162306\dense_forest_large_map_small_gap.png
large_map_small_gap,D-Hybrid A*,True,64.97027922726808,331,0.0972132682800293,0.0982964038848877,,,feng,feng_fallback_to_stomp,False,,2.056821584701538,D:\BaiduSyncdisk\study\phdprojec\pathplan_1.5\examples\outputs\20260105_162306\dense_forest_large_map_small_gap.png
large_map_small_gap,Informed RRT*,True,76.15897848085227,743,0.6634643077850342,0.6634643077850342,,shrink_step_time;reduce_goal_bias,feng,feng_fallback_to_stomp,False,,1.7396020889282227,D:\BaiduSyncdisk\study\phdprojec\pathplan_1.5\examples\outputs\20260105_162306\dense_forest_large_map_small_gap.png
small_map_large_gap,APF,True,21.346029646506704,99,0.06165909767150879,0.06165909767150879,,,feng,,False,,0.44811296463012695,D:\BaiduSyncdisk\study\phdprojec\pathplan_1.5\examples\outputs\20260105_162306\dense_forest_small_map_large_gap.png
small_map_large_gap,Hybrid A*,True,25.057931392035513,534,0.20516681671142578,0.207167387008667,,,feng,,True,,0.46539783477783203,D:\BaiduSyncdisk\study\phdprojec\pathplan_1.5\examples\outputs\20260105_162306\dense_forest_small_map_large_gap.png
small_map_large_gap,D-Hybrid A*,True,21.921203461444787,159,0.07042312622070312,0.07142353057861328,,,feng,,True,,0.5317428112030029,D:\BaiduSyncdisk\study\phdprojec\pathplan_1.5\examples\outputs\20260105_162306\dense_forest_small_map_large_gap.png
small_map_large_gap,Informed RRT*,True,23.293595509554034,84,0.0279233455657959,0.0279233455657959,,shrink_step_time;reduce_goal_bias,feng,,False,,0.40378284454345703,D:\BaiduSyncdisk\study\phdprojec\pathplan_1.5\examples\outputs\20260105_162306\dense_forest_small_map_large_gap.png
small_map_small_gap,APF,True,24.140195156903793,117,0.03329277038574219,0.03329277038574219,,,feng,feng_fallback_to_stomp,False,,0.610013484954834,D:\BaiduSyncdisk\study\phdprojec\pathplan_1.5\examples\outputs\20260105_162306\dense_forest_small_map_small_gap.png
small_map_small_gap,Hybrid A*,True,27.373606890116097,408,0.12408256530761719,0.12408256530761719,,,feng,feng_fallback_to_stomp,False,,0.7235527038574219,D:\BaiduSyncdisk\study\phdprojec\pathplan_1.5\examples\outputs\20260105_162306\dense_forest_small_map_small_gap.png
small_map_small_gap,D-Hybrid A*,True,24.102821510472246,1605,0.5744235515594482,0.5779352188110352,,downweight_dqn;expand_dqn_top_k;force_anchor_cooldown;force_anchor_cooldown;force_anchor_cooldown,feng,,False,,0.3506772518157959,D:\BaiduSyncdisk\study\phdprojec\pathplan_1.5\examples\outputs\20260105_162306\dense_forest_small_map_small_gap.png
small_map_small_gap,Informed RRT*,True,22.449442389100117,517,0.3408515453338623,0.3408515453338623,,shrink_step_time;reduce_goal_bias,feng,,False,,0.34226322174072266,D:\BaiduSyncdisk\study\phdprojec\pathplan_1.5\examples\outputs\20260105_162306\dense_forest_small_map_small_gap.png
real_env1,APF,False,0.0,0,0.0,0.0,start_in_collision,,feng,,,,0.0,
real_env1,Hybrid A*,False,0.0,0,0.0,0.0,start_in_collision,,feng,,,,0.0,
real_env1,D-Hybrid A*,False,0.0,0,0.0,0.0,start_in_collision,,feng,,,,0.0,
real_env1,Informed RRT*,False,0.0,1,0.0,0.0,start_in_collision,,feng,,,,0.0,
