variant,planner,success,path_length,expansions_or_nodes,time,time_wall,failure_reason,remediations,plot_path
large_map_large_gap,APF,True,69.79523684545504,318,0.20560717582702637,0.20560717582702637,,escape_step,D:\BaiduSyncdisk\study\phdprojec\pathplan_1.6\examples\outputs\20260108_155220\dense_forest_large_map_large_gap.png
large_map_large_gap,Hybrid A*,True,87.17864473769977,488,0.2791478633880615,0.28015708923339844,,,D:\BaiduSyncdisk\study\phdprojec\pathplan_1.6\examples\outputs\20260108_155220\dense_forest_large_map_large_gap.png
large_map_large_gap,Informed RRT*,True,87.53619366865367,2658,9.889072179794312,9.889072179794312,,short_step_retry;explore_step,D:\BaiduSyncdisk\study\phdprojec\pathplan_1.6\examples\outputs\20260108_155220\dense_forest_large_map_large_gap.png
large_map_small_gap,APF,True,71.19026030258777,327,0.20230841636657715,0.20230841636657715,,escape_step,D:\BaiduSyncdisk\study\phdprojec\pathplan_1.6\examples\outputs\20260108_155220\dense_forest_large_map_small_gap.png
large_map_small_gap,Hybrid A*,True,82.3163054806573,896,0.5378725528717041,0.5398740768432617,,,D:\BaiduSyncdisk\study\phdprojec\pathplan_1.6\examples\outputs\20260108_155220\dense_forest_large_map_small_gap.png
large_map_small_gap,Informed RRT*,True,73.23313889058993,2220,5.629185676574707,5.629185676574707,,explore_step;short_step_retry,D:\BaiduSyncdisk\study\phdprojec\pathplan_1.6\examples\outputs\20260108_155220\dense_forest_large_map_small_gap.png
small_map_large_gap,APF,True,22.168076536228398,100,0.033213138580322266,0.033213138580322266,,,D:\BaiduSyncdisk\study\phdprojec\pathplan_1.6\examples\outputs\20260108_155220\dense_forest_small_map_large_gap.png
small_map_large_gap,Hybrid A*,True,29.529440616239338,302,0.156402587890625,0.15740561485290527,,,D:\BaiduSyncdisk\study\phdprojec\pathplan_1.6\examples\outputs\20260108_155220\dense_forest_small_map_large_gap.png
small_map_large_gap,Informed RRT*,True,33.70125254179258,309,0.20293188095092773,0.20293188095092773,,short_step_retry,D:\BaiduSyncdisk\study\phdprojec\pathplan_1.6\examples\outputs\20260108_155220\dense_forest_small_map_large_gap.png
small_map_small_gap,APF,True,25.585435882283846,116,0.03184986114501953,0.03184986114501953,,,D:\BaiduSyncdisk\study\phdprojec\pathplan_1.6\examples\outputs\20260108_155220\dense_forest_small_map_small_gap.png
small_map_small_gap,Hybrid A*,True,26.64375997608688,420,0.2559854984283447,0.2569916248321533,,,D:\BaiduSyncdisk\study\phdprojec\pathplan_1.6\examples\outputs\20260108_155220\dense_forest_small_map_small_gap.png
small_map_small_gap,Informed RRT*,False,0.0,3356,10.046166896820068,10.047167301177979,timeout,explore_step;short_step_retry,D:\BaiduSyncdisk\study\phdprojec\pathplan_1.6\examples\outputs\20260108_155220\dense_forest_small_map_small_gap.png
real_env1,APF,True,38.87452910031159,174,0.029998064041137695,0.029998064041137695,,escape_step;escape_step;escape_step;escape_step;escape_step;escape_step;escape_step;escape_step,D:\BaiduSyncdisk\study\phdprojec\pathplan_1.6\examples\outputs\20260108_155220\dense_forest_real_env1.png
real_env1,Hybrid A*,True,35.21573342389547,291,0.15010976791381836,0.15010976791381836,,,D:\BaiduSyncdisk\study\phdprojec\pathplan_1.6\examples\outputs\20260108_155220\dense_forest_real_env1.png
real_env1,Informed RRT*,True,44.99128805390035,2244,9.108620405197144,9.108620405197144,,explore_step;short_step_retry,D:\BaiduSyncdisk\study\phdprojec\pathplan_1.6\examples\outputs\20260108_155220\dense_forest_real_env1.png
