variant,planner,success,path_length,expansions_or_nodes,time,time_wall,failure_reason,remediations,postprocess_mode,postprocess_reason,postprocess_improved,postprocess_selected_cost,postprocess_time,plot_path
large_map_large_gap,APF,True,66.4438226379393,318,0.26260995864868164,0.26260995864868164,,escape_step,feng,fallback_to_input,False,,0.925696611404419,D:\BaiduSyncdisk\study\phdprojec\pathplan_1.6\examples\outputs\20260107_091033\dense_forest_large_map_large_gap.png
large_map_large_gap,Hybrid A*,True,87.17864473769977,488,0.37525010108947754,0.3762500286102295,,,feng,fallback_to_input,False,,1.012786865234375,D:\BaiduSyncdisk\study\phdprojec\pathplan_1.6\examples\outputs\20260107_091033\dense_forest_large_map_large_gap.png
large_map_large_gap,Informed RRT*,False,0.0,2501,10.107722282409668,10.108718633651733,timeout,explore_step;short_step_retry,feng,,,,0.0,D:\BaiduSyncdisk\study\phdprojec\pathplan_1.6\examples\outputs\20260107_091033\dense_forest_large_map_large_gap.png
large_map_small_gap,APF,True,67.42118579878164,327,0.20558571815490723,0.20558571815490723,,escape_step,feng,fallback_to_input,False,,0.8214001655578613,D:\BaiduSyncdisk\study\phdprojec\pathplan_1.6\examples\outputs\20260107_091033\dense_forest_large_map_small_gap.png
large_map_small_gap,Hybrid A*,True,82.3163054806573,896,0.5457766056060791,0.5482892990112305,,,feng,fallback_to_input,False,,0.8155903816223145,D:\BaiduSyncdisk\study\phdprojec\pathplan_1.6\examples\outputs\20260107_091033\dense_forest_large_map_small_gap.png
large_map_small_gap,Informed RRT*,False,0.0,5002,18.105003118515015,18.1060049533844,timeout,explore_step;short_step_retry,feng,,,,0.0,D:\BaiduSyncdisk\study\phdprojec\pathplan_1.6\examples\outputs\20260107_091033\dense_forest_large_map_small_gap.png
small_map_large_gap,APF,True,21.50131677584046,100,0.03135251998901367,0.03135251998901367,,,feng,,False,,0.38134121894836426,D:\BaiduSyncdisk\study\phdprojec\pathplan_1.6\examples\outputs\20260107_091033\dense_forest_small_map_large_gap.png
small_map_large_gap,Hybrid A*,True,29.529440616239338,302,0.17979025840759277,0.18226957321166992,,,feng,fallback_to_input,False,,0.9399631023406982,D:\BaiduSyncdisk\study\phdprojec\pathplan_1.6\examples\outputs\20260107_091033\dense_forest_small_map_large_gap.png
small_map_large_gap,Informed RRT*,True,26.828989292576725,324,0.20627403259277344,0.20627403259277344,,short_step_retry,feng,feng_second_pass,False,,1.161473274230957,D:\BaiduSyncdisk\study\phdprojec\pathplan_1.6\examples\outputs\20260107_091033\dense_forest_small_map_large_gap.png
small_map_small_gap,APF,True,24.33452529878966,116,0.03366541862487793,0.03366541862487793,,,feng,fallback_to_input,False,,0.8373711109161377,D:\BaiduSyncdisk\study\phdprojec\pathplan_1.6\examples\outputs\20260107_091033\dense_forest_small_map_small_gap.png
small_map_small_gap,Hybrid A*,True,26.64375997608688,420,0.22688627243041992,0.22688627243041992,,,feng,fallback_to_input,False,,0.8250861167907715,D:\BaiduSyncdisk\study\phdprojec\pathplan_1.6\examples\outputs\20260107_091033\dense_forest_small_map_small_gap.png
small_map_small_gap,Informed RRT*,True,35.135421030138204,3021,8.52893614768982,8.52893614768982,,explore_step;short_step_retry,feng,fallback_to_input,False,,0.8654975891113281,D:\BaiduSyncdisk\study\phdprojec\pathplan_1.6\examples\outputs\20260107_091033\dense_forest_small_map_small_gap.png
real_env1,APF,True,38.874529100311584,174,0.030124664306640625,0.030124664306640625,,escape_step;escape_step;escape_step;escape_step;escape_step;escape_step;escape_step;escape_step,feng,fallback_to_input,False,,1.0562028884887695,D:\BaiduSyncdisk\study\phdprojec\pathplan_1.6\examples\outputs\20260107_091033\dense_forest_real_env1.png
real_env1,Hybrid A*,True,35.21573342389547,291,0.17425203323364258,0.17425203323364258,,,feng,fallback_to_input,False,,0.7206144332885742,D:\BaiduSyncdisk\study\phdprojec\pathplan_1.6\examples\outputs\20260107_091033\dense_forest_real_env1.png
real_env1,Informed RRT*,True,41.06043269603293,763,2.7964041233062744,2.79740047454834,,explore_step;short_step_retry,feng,fallback_to_input,False,,0.8313374519348145,D:\BaiduSyncdisk\study\phdprojec\pathplan_1.6\examples\outputs\20260107_091033\dense_forest_real_env1.png
