variant,planner,success,path_length,expansions_or_nodes,time,time_wall,failure_reason,remediations,plot_path
large_map_large_gap,APF,True,68.74367024171262,315,0.2101602554321289,0.2101602554321289,,,D:\BaiduSyncdisk\study\phdprojec\pathplan_1.8\examples\outputs\20260117_063932\dense_forest_large_map_large_gap.png
large_map_large_gap,Hybrid A*,True,83.916328662015,670,0.4147162437438965,0.4162778854370117,,,D:\BaiduSyncdisk\study\phdprojec\pathplan_1.8\examples\outputs\20260117_063932\dense_forest_large_map_large_gap.png
large_map_large_gap,Informed RRT*,True,83.83917075255118,1178,1.380666732788086,1.380666732788086,,short_step_retry;explore_step,D:\BaiduSyncdisk\study\phdprojec\pathplan_1.8\examples\outputs\20260117_063932\dense_forest_large_map_large_gap.png
large_map_small_gap,APF,True,69.62511837674263,320,0.20900583267211914,0.20900583267211914,,escape_step;escape_step;escape_step;escape_step,D:\BaiduSyncdisk\study\phdprojec\pathplan_1.8\examples\outputs\20260117_063932\dense_forest_large_map_small_gap.png
large_map_small_gap,Hybrid A*,True,82.37089121000736,561,0.35382652282714844,0.35483551025390625,,,D:\BaiduSyncdisk\study\phdprojec\pathplan_1.8\examples\outputs\20260117_063932\dense_forest_large_map_small_gap.png
large_map_small_gap,Informed RRT*,False,0.0,5711,18.015321969985962,18.01632332801819,timeout,explore_step;short_step_retry,D:\BaiduSyncdisk\study\phdprojec\pathplan_1.8\examples\outputs\20260117_063932\dense_forest_large_map_small_gap.png
small_map_large_gap,APF,True,22.168076536228398,100,0.031494140625,0.031494140625,,,D:\BaiduSyncdisk\study\phdprojec\pathplan_1.8\examples\outputs\20260117_063932\dense_forest_small_map_large_gap.png
small_map_large_gap,Hybrid A*,True,29.48725523839365,328,0.1796283721923828,0.1796283721923828,,,D:\BaiduSyncdisk\study\phdprojec\pathplan_1.8\examples\outputs\20260117_063932\dense_forest_small_map_large_gap.png
small_map_large_gap,Informed RRT*,True,31.100054514954962,770,0.3585774898529053,0.3585774898529053,,explore_step;short_step_retry,D:\BaiduSyncdisk\study\phdprojec\pathplan_1.8\examples\outputs\20260117_063932\dense_forest_small_map_large_gap.png
small_map_small_gap,APF,True,25.585435882283846,116,0.030883073806762695,0.030883073806762695,,,D:\BaiduSyncdisk\study\phdprojec\pathplan_1.8\examples\outputs\20260117_063932\dense_forest_small_map_small_gap.png
small_map_small_gap,Hybrid A*,True,32.13985909878585,476,0.26918530464172363,0.2701883316040039,,,D:\BaiduSyncdisk\study\phdprojec\pathplan_1.8\examples\outputs\20260117_063932\dense_forest_small_map_small_gap.png
small_map_small_gap,Informed RRT*,False,0.0,4239,10.004255533218384,10.005327463150024,timeout,explore_step;short_step_retry,D:\BaiduSyncdisk\study\phdprojec\pathplan_1.8\examples\outputs\20260117_063932\dense_forest_small_map_small_gap.png
real_env1,APF,True,37.56573072033913,166,0.03478837013244629,0.03478837013244629,,escape_step;escape_step;escape_step;escape_step;escape_step;escape_step;escape_step;escape_step;escape_step;escape_step;escape_step;escape_step;escape_step,D:\BaiduSyncdisk\study\phdprojec\pathplan_1.8\examples\outputs\20260117_063932\dense_forest_real_env1.png
real_env1,Hybrid A*,True,32.92665220828894,1159,0.6344342231750488,0.6354424953460693,,,D:\BaiduSyncdisk\study\phdprojec\pathplan_1.8\examples\outputs\20260117_063932\dense_forest_real_env1.png
real_env1,Informed RRT*,False,0.0,3566,10.003455877304077,10.004456996917725,timeout,explore_step;short_step_retry,D:\BaiduSyncdisk\study\phdprojec\pathplan_1.8\examples\outputs\20260117_063932\dense_forest_real_env1.png
